killed: pieces=617, require:furnace=791, require:paper=1488, require:paper+furnace=1619, require:paper+tic=291, require:paper+tic+furnace=765, require:tic=108, require:tic+furnace=170, village=573546, village>maxdist=30638, water=39109

858 ranked seeds -> finalists.txt
  score                  seed      spawn x,z    village x,z   paper    tic      furn  water   sand   clay  gravl
    148    545702619356119891      22,138          2,146         24     15      4 x1     53      3     48    512
    165    553627533422659245       5,5           18,2           36     22     10 x1     47      4     47    512
    176   -231136394194981719      20,58           2,66          20      4      2 x2     41     92     41    512
    208  -3091061312794574247      19,86          66,66          34     41     31 x1     51      5     46    512
    216  -3866760402242128964      13,63          66,82          57     62     23 x1     33      9     33    512
    216  -4200731822819946681      -5,-37         50,98          70     77     81 x2      4      4      4    512
    218  -5355076076891543691     182,-167       146,-174        50      0     61 x1     52      2     52    512
    220  -3512397967423374803      -2,70           2,98          18     67      7 x2     51     51     51    512
    220  -5508387281010597512     -89,52        -142,50          34     33     66 x1     42      4     42    512
    227  -8517569268635804436     -21,-10         18,2           70     63     46 x1     22      4     22    512
    232   3535065440267478920       6,45          18,114         85     35     55 x1     28      5     25    512
    233   8209994272622119359      23,-23         66,2           31     49     37 x1     57      1     57    512
    233   4093156632612084833     249,78         194,82          47     44     29 x1     54      6     54    512
    235   7807626734732344893      -7,25          34,2           80     21      0 x1     66      1     66    512
    236   2424441315326906444      10,-3          34,18          94     43     83 x1      5      5      5    512
    239  -9076107820172883703    -189,-14       -286,66          40     46     49 x1     38     28     38    512
    243   3194073889762603521      17,-16         34,50          80     64     65 x1     12     11     12    512
    245   5595686608632629897      38,-3          50,34          57     37     44 x1     51      5     51    512
    247  -2254506781601596960      34,22          34,18          29     40     26 x1     72      6     72    512
    247  -4793609137643789517    -209,-176      -158,-142        24     22     60 x1     75     11     56    512
    247  -8129730171430563803    -104,-216      -190,-158        82     81     45 x2     32      0     32    512
    248   2039660103668340955      20,16          98,2           95     30     39 x2     50      9     50    512
    249   3784964002270170108    -120,122       -158,162         26     65     56 x2     38     51     38    512
    259    331488291868112842     195,53         130,66          32     24     16 x1     45     96     45    512
    272    624581134431611377     -38,18          34,50          97     67     61 x1     21      6     21    512
    272  -2672910028386462298      44,39           2,98          73     56     36 x1     48     12     48    512
    275  -1399826452606818972     -32,186          2,98          57     48     39 x2     56     44     56    512
    276  -4836486331909144119      20,42          66,66          74     41     55 x1     62      4     40    512
    279  -5948802575186650791       0,0           66,2           71     75     86 x1     25     11     11    512
    281   3017365446223544564      35,-99         50,-158        62     55     99 x1     29      7     29    512
