score,s0,s1,seed,spawn,marsh_n,marsh_d,paper4_n,paper_d,head_d,head,coal_n,coal_d,clay_d,gravel_d
405.04022136610195,176.0,229.04022136610195,-231136394194981719,"20,58",32,201,1,21,7,Flint Shovel Head,0,,106,4
460.981979131583,287.0,173.98197913158302,-4918413866155194835,"114,50",18,57,1,56,61,Flint Shovel Head,0,,127,8
499.5854344566227,281.0,218.5854344566227,3017365446223544564,"35,-99",23,74,1,63,81,Bone Shovel Head,11,96,245,7
503.44664901075953,320.0,183.4466490107595,4613813777228336639,"-238,73",21,81,4,62,40,Bone Shovel Head,22,157,207,6
509.40684327584097,246.0,263.40684327584097,-4793609137643789517,"-209,-176",41,187,1,25,51,Bone Axe Head,20,82,91,11
511.39879077556327,272.0,239.39879077556327,624581134431611377,"-38,18",10,144,4,47,48,Electrum Axe Head,0,,21,6
520.3623397457452,340.0,180.36233974574523,6891847710477788030,"107,2",10,141,3,16,23,Iron Axe Head,8,89,143,7
529.8774898231002,315.0,214.87748982310012,-25616001490522100,"76,38",47,82,1,63,70,Bone Shovel Head,0,,58,4
553.8553330656,244.0,309.8553330656,7656196997344940947,"-20,47",27,80,3,21,209,Electrum Shovel Head,23,215,107,8
563.057596254991,346.0,217.0575962549911,-4022701185051790715,"0,0",26,7,1,124,86,Bone Axe Head,0,,41,11
574.7797086783925,227.0,347.77970867839247,-8517569268635804436,"-21,-10",20,132,4,71,144,Queen's Gold Shovel Head,32,159,34,4
594.5143123771752,408.0,186.5143123771752,-6887974039860121411,"531,-433",29,73,2,79,35,Flint Shovel Head,0,,135,9
627.5004150393985,306.0,321.5004150393985,8129254969810941259,"15,-12",1,202,1,58,61,Flint Axe Head,0,,36,8
630.1231988133295,275.0,355.12319881332945,-1399826452606818972,"-32,186",1,207,1,64,85,Flint Shovel Head,0,,121,8
635.5026299841562,431.0,204.50262998415624,5267088357034472605,"-159,122",18,56,2,104,45,Flint Axe Head,0,,98,7
643.0573833257267,245.0,398.05738332572673,5595686608632629897,"38,-3",22,200,6,60,137,Pig Iron Shovel Head,0,,180,5
643.5648833010628,397.0,246.5648833010627,7134826682664974675,"-76,239",14,40,1,98,108,Bone Shovel Head,12,70,89,8
649.396689430878,306.0,343.39668943087804,1285219475844288237,"45,-76",3,257,1,64,23,Flint Shovel Head,0,,99,6
652.3108834718863,248.0,404.3108834718863,2039660103668340955,"20,16",23,208,1,96,100,Flint Shovel Head,0,,45,9
661.7259948260803,327.0,334.7259948260803,-6901360551294178371,"-14,2",17,153,1,122,59,Flint Axe Head,11,126,34,8
684.1235655194566,353.0,331.1235655194566,4888590479074403096,"123,43",1,222,1,45,64,Flint Shovel Head,15,35,54,4
699.384379728107,354.0,345.38437972810704,7095513010014528902,"-26,-21",19,139,2,105,102,Stone Axe Head,0,,36,4
700.1067725450124,467.0,233.1067725450124,1205871910818538097,"52,-47",29,187,4,43,3,Obsidian Shovel Head,8,142,116,8
705.2627468237454,352.0,353.2627468237454,-588805356382311857,"-16,13",23,110,4,103,140,Stone Axe Head,13,258,41,9
