killed: pieces=38, require:furnace=24, require:furnace+sand=65, require:paper=57, require:paper+furnace=60, require:paper+furnace+sand=126, require:paper+sand=126, require:paper+tic=6, require:paper+tic+furnace=27, require:paper+tic+furnace+sand=85, require:paper+tic+sand=27, require:sand=73, require:tic=2, require:tic+furnace=7, require:tic+furnace+sand=26, require:tic+sand=9, village=599163, village>maxdist=1368, water=2628

24 ranked seeds -> finalists.txt
  score                  seed      spawn x,z    village x,z   paper    tic      furn  water   sand   clay  gravl
    197   8965828868298289716       0,0            2,18          16     25      8 x2     82     11     79    512
    236   -411845942518896915     -27,-3           2,18          49     51     90 x1     20      6     20    512
    244   7973027739605831953      19,-49         18,34          52     48     64 x1     35      9     35    512
    254   7520858204078063715      66,-29         50,18          59     27     50 x1     55      8     54    512
    256  -8561897437896350247      10,18           2,34          24     16     53 x1     56     56     51    512
    272   8507957719896049393       6,51          34,50          48     51     25 x1     71      5     71    512
    345   2474112836853468598     108,-94         50,34         141     96    104 x2     11      7     11    512
    363  -3824249152580763949     -30,1           34,2          115     54    133 x1     27      9     26    512
    380   1425196592856258245      82,-28         34,18          61     96     68 x1     65     25     65    512
    390  -4004467003715136689      45,-37         18,50          57     72    129 x1     63      6     63    512
    403  -3086142222250967432     -44,5           34,18          54     74     78 x1     95      5     95    512
    404  -7995895599867941955      48,-13          2,50          81     72     55 x1     93      9     93    512
    415  -8559317874875454079     -57,-31         50,18         115    142    112 x2     32      7     32    512
    423  -1232783017558032110     -56,37           2,18          82     97     52 x1     65     61     65    512
    431   6853095365466206007     150,115         50,18         117     79    129 x1     50      5     50    512
    434   6096766139939814334      21,-51          2,18          73    106     94 x1     47     67     47    512
    441  -4479270262569356462       7,-60          2,50         114    107    116 x2     55     19     55    512
    447  -3503061262205596636     265,-120       146,-222       125    149    124 x2     37      1     37     37
    453  -7986944927016517542     -46,-3          50,34         143    102     84 x1     56     11     56    512
    473  -5213463416970405209     -72,-48          2,18          84     87    114 x1     74     40     74    512
    487  -5061984257757733335    -112,85          18,34         116    117     93 x1     76      9     76    512
    513  -2318268816295824430      31,-63          2,50         131    145    137 x1     34     40     26    512
    547   -307681078526066883     -33,-85         34,18         133    113    104 x1     65     67     65    512
    625   3078363745247647323     113,178          2,50         180    112    156 x1     81     24     71    512
