"source","phase","table","category","level","rolls_min","rolls_max","to_each","display_name","weight","stack_min","stack_max","pool_total_weight","pick_chance_per_roll","registry_name","meta","entry_class","nbt"
"chestgenhooks","pre","","TinkerHouse","","3","27","","Miniature Red Heart","1","1","1","961","0.001041","TConstruct:heartCanister","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Pickaxe Head","15","1","1","961","0.015609","TConstruct:pickaxeHead","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Flint Pickaxe Head","15","1","1","961","0.015609","TConstruct:pickaxeHead","3","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Shovel Head","15","1","1","961","0.015609","TConstruct:shovelHead","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Flint Shovel Head","15","1","1","961","0.015609","TConstruct:shovelHead","3","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bone Shovel Head","15","1","1","961","0.015609","TConstruct:shovelHead","5","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Axe Head","15","1","1","961","0.015609","TConstruct:hatchetHead","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Flint Axe Head","15","1","1","961","0.015609","TConstruct:hatchetHead","3","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bone Axe Head","15","1","1","961","0.015609","TConstruct:hatchetHead","5","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Wooden Binding","15","1","1","961","0.015609","TConstruct:binding","0","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Binding","15","1","1","961","0.015609","TConstruct:binding","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Binding","15","1","1","961","0.015609","TConstruct:binding","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Cactus Binding","15","1","1","961","0.015609","TConstruct:binding","4","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bone Binding","15","1","1","961","0.015609","TConstruct:binding","5","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Obsidian Binding","15","1","1","961","0.015609","TConstruct:binding","6","",""
