meta,material,display_name,config_key,harvest_level,harvest_level_name,durability,mining_speed,attack,handle_modifier,reinforced,shoddy,trait,xp_amount,roles,parts_found,n_parts,as_head,as_head_add,as_handle,as_trait_only,as_bow_limb,tough_tier,durability_x_best_rod,durability_x_best_tough_rod,rod_gain_pct,reinforced_donor,parts_restricted,restricted_to,found_not_craftable,exp_TinkerHouse,exp_rogue_TOOLS_L0,exp_rogue_TOOLS_L1,exp_rogue_TOOLS_L2,exp_rogue_TOOLS_L3,exp_rogue_TOOLS_L4,exp_rogue_WEAPONS_L0,exp_rogue_WEAPONS_L1,exp_rogue_WEAPONS_L2,exp_rogue_WEAPONS_L3,exp_rogue_WEAPONS_L4
0,Wood,Wooden,wood,0,Stone,38,1.5,1,1,0,0,,1,handle;head;head-add;trait-only,arrowhead;binding;crossbar;frypanHead;handGuard;hatchetHead;knifeBlade;shovelHead;signHead;swordBlade;toolRod;wideGuard,12,yes,yes,yes,yes,,,57,,+0,,yes,rod;crossbar;binding;sign;bowlimb;crossbowlimb;crossbowbody,arrowhead;frypanHead;handGuard;hatchetHead;knifeBlade;shovelHead;swordBlade;wideGuard,0.7024,0.6667,,,,,1.3333,,,,
1,Stone,Stone,stone,0,Stone,75,1.5,1,0.3,0,1,Stonebound 1,1,head;head-add;trait-only,binding;chiselHead;crossbar;frypanHead;handGuard;hatchetHead;knifeBlade;pickaxeHead;shovelHead;signHead;swordBlade;wideGuard,12,yes,yes,,yes,,,112,,,,,,,2.8096,,,,,,,,,,
2,Iron,Iron,iron,3,Tin,188,6,3,1.2,1,0,,1,handle;head;head-add;trait-only,arrowhead;binding;chiselHead;crossbar;frypanHead;handGuard;hatchetHead;knifeBlade;shovelHead;signHead;swordBlade;toolRod;wideGuard,13,yes,yes,yes,yes,,,282,,+20,yes,,,,2.1072,,0.6667,,,,,1.1429,,,
3,Flint,Flint,flint,1,Copper,113,4,2,0.5,0,0,,1,handle;head;head-add;trait-only,arrowhead;binding;frypanHead;handGuard;hatchetHead;knifeBlade;pickaxeHead;shovelHead;swordBlade;toolRod;wideGuard,11,yes,yes,yes,yes,,,169,,-50,,yes,pickaxe;shovel;axe;swordblade;knifeblade;arrowhead;shuriken,binding;frypanHead;handGuard;toolRod;wideGuard,1.1707,0.6667,,,,,1.3333,,,,
4,Cactus,Cactus,cactus,0,Stone,83,5,3,1,0,-1,Jagged 1,1,handle;head;head-add;trait-only,arrowhead;binding;frypanHead;handGuard;hatchetHead;knifeBlade;shovelHead;swordBlade;toolRod;wideGuard,10,yes,yes,yes,yes,,,124,,+0,,yes,rod;binding;knifeblade;shuriken,arrowhead;frypanHead;handGuard;hatchetHead;shovelHead;swordBlade;wideGuard,0.4683,0.6667,,,,,1.3333,,,,
5,Bone,Bone,bone,1,Copper,151,3,2,1.08,0,0,,1,head;head-add;trait-only,binding;crossbar;hatchetHead;knifeBlade;shovelHead;wideGuard,6,yes,yes,,yes,,,226,,,,yes,rod;shovel;axe;largeguard;crossbar;binding;knifeblade;arrowhead;bowlimb;crossbowlimb;crossbowbody,,1.4048,,,,,,,,,,
6,Obsidian,Obsidian,obsidian,6,Ardite,67,6.5,2,0.8,3,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;binding;crossbar;handGuard;hatchetHead;heavyPlate;largeSwordBlade;scytheBlade;shovelHead;signHead;swordBlade;toolRod;toughBinding;toughRod;wideGuard,17,yes,yes,yes,yes,yes,heavyPlate;largeSwordBlade;scytheBlade;toughBinding;toughRod,100,140,-20,yes,yes,rod;pickaxe;shovel;axe;largeguard;mediumguard;crossbar;binding;sign;largerod;toughbinding;largeplate;broadaxe;scythe;excavator;hammerhead;fullguard;arrowhead;crossbowbody;shuriken,BowLimbPart;CrossbowLimbPart;largeSwordBlade;swordBlade,1.1707,,,0.6667,0.1111,,,,1.1667,0.1667,
8,Slime,Slime,slime,0,Stone,375,1,1,2,0,0,,1,head;trait-only,binding;signHead,2,yes,,,yes,,,562,,,,yes,rod;sign;binding;bowlimb;crossbowlimb;crossbowbody,,0.4683,,,,,,,,,,
9,Paper,Paper,paper,0,Stone,16,1,1,0.3,0,0,,1,trait-only,binding,1,,,,yes,,,,,,,yes,rod;binding,,0.2341,,,,,,,,,,
10,Cobalt,Cobalt,cobalt,8,Manyullyn,600,11,4,1.75,2,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;excavatorHead;hammerHead;handGuard;heavyPlate;largeSwordBlade;scytheBlade;swordBlade;toughBinding;toughRod;wideGuard,13,yes,yes,yes,yes,yes,excavatorHead;hammerHead;heavyPlate;largeSwordBlade;scytheBlade;toughBinding;toughRod,900,1259,+75,yes,,,,,,,,,0.6667,,,,,1.1667
