registry_name,meta,attack_damage,armor,armor_slot,max_damage
"BiblioCraft:item.BiblioGlasses",0,,1,0,
"BiblioCraft:item.BiblioGlasses",1,,1,0,
"BiblioCraft:item.BiblioGlasses",2,,1,0,
"BiomesOPlenty:bootsMud",0,,1,3,26
"BiomesOPlenty:chestplateMud",0,,1,1,32
"BiomesOPlenty:flippers",0,,0,3,
"BiomesOPlenty:helmetMud",0,,1,0,22
"BiomesOPlenty:leggingsMud",0,,1,2,30
"BiomesOPlenty:wadingBoots",0,,0,3,
"EMT:TaintedMjolnir",0,7.0000,,,1000
"ExtraUtilities:glove",0,4.0000,,,
"IC2:itemArmorAlloyChestplate",0,,9,1,800
"IC2:itemArmorBronzeBoots",0,,2,3,195
"IC2:itemArmorBronzeChestplate",0,,6,1,240
"IC2:itemArmorBronzeHelmet",0,,2,0,165
"IC2:itemArmorBronzeLegs",0,,5,2,225
"IC2:itemToolBronzePickaxe",0,4.0000,,,250
"IC2:itemToolBronzeSword",0,6.0000,,,250
"OpenBlocks:technicolorGlasses",0,,2,0,77
"ProjRed|Exploration:projectred.exploration.rubyboots",0,,3,3,208
"ProjRed|Exploration:projectred.exploration.rubychestplate",0,,8,1,256
"ProjRed|Exploration:projectred.exploration.rubyhelmet",0,,3,0,176
"ProjRed|Exploration:projectred.exploration.rubyleggings",0,,6,2,240
"ProjRed|Exploration:projectred.exploration.sapphireboots",0,,3,3,208
"ProjRed|Exploration:projectred.exploration.sapphirechestplate",0,,8,1,256
"ProjRed|Exploration:projectred.exploration.sapphirehelmet",0,,3,0,176
"ProjRed|Exploration:projectred.exploration.sapphireleggings",0,,6,2,240
"Railcraft:armor.goggles",0,,1,0,220
"Railcraft:armor.overalls",0,,2,2,75
"Railcraft:armor.steel.boots",0,,2,3,325
"Railcraft:armor.steel.helmet",0,,2,0,275
"Railcraft:armor.steel.legs",0,,5,2,375
"Railcraft:armor.steel.plate",0,,6,1,400
"Railcraft:tool.crowbar",0,5.0000,,,250
"Railcraft:tool.steel.axe",0,5.0000,,,500
"Railcraft:tool.steel.pickaxe",0,4.0000,,,500
"Railcraft:tool.steel.shovel",0,3.0000,,,500
"Railcraft:tool.steel.sword",0,6.0000,,,500
"TConstruct:bootsWood",0,,1,3,26
"TConstruct:chestplateWood",0,,2,1,32
"TConstruct:helmetWood",0,,1,0,22
"TConstruct:leggingsWood",0,,2,2,30
"TConstruct:slime_boots",0,,0,3,100
"Thaumcraft:ItemAxeThaumium",0,5.0000,,,400
"Thaumcraft:ItemBootsRobe",0,,1,3,325
"Thaumcraft:ItemChestplateRobe",0,,3,1,400
"Thaumcraft:ItemLeggingsRobe",0,,2,2,375
"Thaumcraft:ItemPickThaumium",0,4.0000,,,400
"Thaumcraft:ItemSwordThaumium",0,6.0000,,,400
"TwilightForest:item.arcticBoots",0,,2,3,130
"TwilightForest:item.arcticHelm",0,,2,0,110
"TwilightForest:item.arcticLegs",0,,5,2,150
"TwilightForest:item.arcticPlate",0,,7,1,160
"TwilightForest:item.critter",0,,0,0,
"TwilightForest:item.glassSword",0,40.0000,,,1
"TwilightForest:item.iceSword",0,7.5000,,,32
"TwilightForest:item.ironwoodPick",0,4.0000,,,512
"TwilightForest:item.ironwoodPlate",0,,7,1,320
"TwilightForest:item.ironwoodSword",0,6.0000,,,512
"TwilightForest:item.knightlyAxe",0,7.0000,,,512
"TwilightForest:item.knightlyPick",0,7.0000,,,512
"TwilightForest:item.knightlyPlate",0,,8,1,320
"TwilightForest:item.knightlySword",0,7.0000,,,512
"TwilightForest:item.mazebreakerPick",0,5.0000,,,1561
"TwilightForest:item.phantomHelm",0,,3,0,330
"TwilightForest:item.phantomPlate",0,,8,1,480
"TwilightForest:item.steeleafAxe",0,6.0000,,,131
"TwilightForest:item.steeleafBoots",0,,2,3,260
"TwilightForest:item.steeleafHelm",0,,2,0,220
"TwilightForest:item.steeleafLegs",0,,5,2,300
"TwilightForest:item.steeleafPick",0,5.0000,,,131
"TwilightForest:item.steeleafPlate",0,,7,1,320
"TwilightForest:item.steeleafShovel",0,4.0000,,,131
"TwilightForest:item.steeleafSword",0,7.0000,,,131
"TwilightForest:item.trophy",3,,0,0,
"TwilightForest:item.trophy",6,,0,0,
"adventurebackpack:adventureHat",0,,2,0,100
"adventurebackpack:adventurePants",0,,4,2,150
"adventurebackpack:adventureSuit",0,,5,1,150
"adventurebackpack:pistonBoots",0,,2,3,250
"cropsnh:spade",0,2.0000,,,
"etfuturum:netherite_helmet",0,,3,0,407
"fether:quartz_boots",0,,2,3,195
"fether:quartz_chestplate",0,,6,1,240
"fether:quartz_helmet",0,,2,0,165
"fether:quartz_leggings",0,,5,2,225
"harvestcraft:hardenedleatherbootsItem",0,,2,3,195
"harvestcraft:hardenedleatherchestItem",0,,6,1,240
"harvestcraft:hardenedleatherhelmItem",0,,2,0,165
"harvestcraft:hardenedleatherleggingsItem",0,,5,2,225
"minecraft:chainmail_boots",0,,1,3,195
"minecraft:chainmail_chestplate",0,,5,1,240
"minecraft:chainmail_helmet",0,,2,0,165
"minecraft:chainmail_leggings",0,,4,2,225
"minecraft:diamond_boots",0,,3,3,429
"minecraft:diamond_chestplate",0,,8,1,528
"minecraft:diamond_helmet",0,,3,0,363
"minecraft:diamond_leggings",0,,6,2,495
"minecraft:diamond_sword",0,7.0000,,,1561
"minecraft:golden_axe",0,3.0000,,,32
"minecraft:golden_boots",0,,1,3,91
"minecraft:golden_chestplate",0,,5,1,112
"minecraft:golden_helmet",0,,2,0,77
"minecraft:golden_leggings",0,,3,2,105
"minecraft:golden_pickaxe",0,2.0000,,,32
"minecraft:golden_sword",0,4.0000,,,32
"minecraft:iron_axe",0,5.0000,,,250
"minecraft:iron_boots",0,,2,3,195
"minecraft:iron_chestplate",0,,6,1,240
"minecraft:iron_helmet",0,,2,0,165
"minecraft:iron_leggings",0,,5,2,225
"minecraft:iron_pickaxe",0,4.0000,,,250
"minecraft:iron_shovel",0,3.0000,,,250
"minecraft:iron_sword",0,6.0000,,,250
"minecraft:leather_boots",0,,1,3,65
"minecraft:leather_chestplate",0,,3,1,80
"minecraft:leather_helmet",0,,1,0,55
"minecraft:leather_leggings",0,,2,2,75
"minecraft:stone_axe",0,4.0000,,,131
"minecraft:stone_sword",0,5.0000,,,131
"minecraft:wooden_sword",0,4.0000,,,64
