Item,Value,Limit,Notes,,,,SETTINGS,
Alumite Large Plate,10000,2,,,,,Player Count,10
Iron Capped Wooden Wand,5000,1,,,,,,
Division Sigil,2500,1,,,,,,
Hang Glider,2500,10,,,,,,
Item Dislocator,2500,10,,,,,,
Miner's Backpack,2500,10,,,,,,
Piston Boots,2500,,,,,,,
Ardite Excavator Head,1600,,,,,,,
Ardite Hammer Head,1600,,,,,,,
Ardite Large Plate,1600,,,,,,,
Cobalt Hammer Head,1600,,,,,,,
Cobalt Large Plate,1600,,highest mining level + best speed and durability + reinforced 2,,,,,
Adventure Backpack,1000,10,,,,,,
Block of Steel,1000,,,,,,,
Hopper,1000,,,,,,,
Hopper Cart,1000,,,,,,,
Oblivion Frame,1000,,,,,,,
Slime Boots,1000,10,,,,,,
Slimesling,1000,10,,,,,,
Stainless Steel Ingot,1000,,,,,,,
Workbench Backpack,1000,,,,,,,
Steel Excavator Head,800,,,,,,,
Steel Hammer Head,800,,,,,,,
Steel Large Plate,800,,,,,,,
Ardite Tough Rod,600,,"2.1x durability, highest",,,,,
Cobalt Tough Rod,600,,1.75x dura,,,,,
Aluminium Ingot,500,,,,,,,
Chandelier,500,,the exu mob spawn preventing thing,,,,,
Chrome Dust,500,,,,,,,
Creative Tool Modifier,500,,,,,,,
Digger's Backpack,500,10,,,,,,
Elevator,500,,openblocks,,,,,
Exquisite Diamond,500,,,,,,,
Lava Crystal,500,,,,,,,
Middle Backpack,500,10,,,,,,
Obsidian,500,,,,,,,
Platinum Ingot,500,,,,,,,
Prospector's Scanner (LV),500,,,,,,,
Silky Jewel,500,,,,,,,
Worktable,500,,forestry,,,,,
Dolly,500,,,,,,,
Aeon Steel Excavator Head,400,,,,,,,
Aeon Steel Hammer Head,400,,,,,,,
Aeon Steel Large Plate,400,,,,,,,
Alumite Excavator Head,400,,,,,,,
Alumite Hammer Head,400,,,,,,,
Steel Tough Binding,300,,,,,,,
Steel Tough Rod,300,,,,,,,
§fBronze Pickaxe,250,,,,,,,
§fBronze Shovel,250,,,,,,,
Ardite Ingot,200,,,,,,,
Dezil's Marshmallow,200,,,,,,,
Iron Minecart Wheels,200,,component for dolly,,,,,
Saw,200,,steel gt saw,,,,,
Screwdriver,200,,steel gt screwdriver,,,,,
Ultra Low Voltage Fluid Tank,200,,,,,,,
Aeon Steel Tough Rod,150,,,,,,,
Damascus Steel Ingot,100,,,,,,,
1x Copper Wire,100,,,,,,,
1x Tin Wire,100,,,,,,,
Alumite Tough Rod,100,,,,,,,
Bronze Fluid Pipe,100,,,,,,,
Bucket,100,,,,,,,
Diamond,100,,,,,,,
LootBag (dreamcraft.lootbag.group.basic_stone_age),100,,,,,,,
LootBag (dreamcraft.lootbag.group.bees_basic),100,,,,,,,
Plant Lens,100,2,,,,,,
Potion of Swiftness,100,10,,,,,,
Rare Treasure,100,,,,,,,
Red Alloy Ingot,100,,,,,,,
Red Alloy Plate,100,,,,,,,
Steel Ingot,100,,,,,,,
TNT,100,,,,,,,
TNT Cart,100,,,,,,,
Ultimate Stew,100,,,,,,,
Vanadiumsteel Ingot,100,,,,,,,
Water Bucket,100,,,,,,,
Wooden TNT Cart,100,,,,,,,
Zero Point Module,100,,,,,,,
Antimony Ingot,50,,,,,,,
Blaze Rod,50,,,,,,,
Cast Iron Ingot,50,,,,,,,
Cobalt Brass Ingot,50,,,,,,,
Cosmic Meatballs,50,,,,,,,
Crowbar,50,,,,,,,
Ender Pearl,50,,,,,,,
Lunch Box,50,10,,,,,,
Nickel Ingot,50,,,,,,,
Piston,50,,,,,,,
Steel Chest,50,,,,,,,
Thaumium Ingot,50,,,,,,,
Tin Rotor,50,,,,,,,
Tumbaga Ingot,50,,,,,,,
Uncommon Treasure,50,,,,,,,
Bronze Ingot,30,,,,,,,
Invar Ingot,30,,,,,,,
Spawn Iron Golem,25,,,,,,,
Gold Ingot,20,,,,,,,
Copper Ingot,20,,,,,,,
Cupronickel Ingot,20,,,,,,,
Iron Ingot,20,,,,,,,
Iron Ring,20,,,,,,,
Iron Rod,20,,,,,,,
Iron Screw,20,,,,,,,
Lead Ingot,20,,,,,,,
LootBag (dreamcraft.lootbag.group.fast_food),20,,,,,,,
Machine Controller Cover,20,,,,,,,
Magnetic Iron Ingot,20,,,,,,,
Silver Ingot,20,,,,,,,
Tin Ingot,20,,,,,,,
Tin Screw,20,,,,,,,
Zinc Ingot,20,,,,,,,
Obsidian Tough Binding,15,,,,,,,
(Filled) Tin Can,10,,,,,,,
Brass Ingot,10,,,,,,,
Certus Quartz,10,,,,,,,
Certus Quartz Dust,10,,,,,,,
Electrical Steel Ingot,10,,,,,,,
Electrum Ingot,10,,,,,,,
Exquisite Emerald,10,,,,,,,
Exquisite Sapphire,10,,,,,,,
Firestone Dust,10,,,,,,,
Ghast Tear,10,,,,,,,
Manganese Ingot,10,,,,,,,
Neodymium Dust,10,,,,,,,
Obsidian Chest,10,,,,,,,
Ring of Protection,10,,,,,,,
Totem of Undying,10,,,,,,,
Trading Post,10,,,,,,,
Redstone,5,,,,,,,
Beef Wellington,5,,,,,,,
Clay,5,,,,,,,
Coal,5,,,,,,,
Coal Coke,5,,,,,,,
Common Treasure,5,,,,,,,
Delighted Meal,5,,,,,,,
Deluxe Cheeseburger,5,,,,,,,
Flint and Steel,5,,,,,,,
Knowledge Fragment,5,,,,,,,
Lapis Lazuli,5,,,,,,,
Leather,5,,,,,,,
Miniature Red Heart,5,,,,,,,
Name Tag,5,,,,,,,
Obsidian Binding,5,,,,,,,
Ancient Debris,1,,,,,,,
Forester's Backpack,1,,,,,,,
Furnace,1,,,,,,,
Potion of Invisibility,1,,,,,,,
Splash Potion of Night Vision,1,,,,,,,
Splash Potion of Regeneration,1,,,,,,,
Treetap,1,,,,,,,
