Item,Value,Limit,Notes,,,,SETTINGS,
Alumite Large Plate,10000,2,,,,,Player Count,10
Iron Capped Wooden Wand,5000,1,,,,,,
Coal Jetpack,2500,10,,,,,,
Copter Pack,2500,10,,,,,,
Division Sigil,2500,1,,,,,,
Enchantment Table,2500,1,,,,,,
Hang Glider,2500,10,,,,,,
High Pressure Boiler Tank,2500,16,,,,,,
Item Dislocator,2500,10,,,,,,
Miner's Backpack,2500,10,,,,,,
Piston Boots,2500,,,,,,,
Solid Fueled Boiler Firebox,2500,9,,,,,,
Brewing Stand,2000,1,,,,,,
Cobalt Large Plate,1600,,highest mining level + best speed and durability + reinforced 2,,,,,
Cobalt Hammer Head,1600,,,,,,,
Ardite Excavator Head,1600,,,,,,,
Ardite Hammer Head,1600,,,,,,,
Ardite Large Plate,1600,,,,,,,
Hopper,1000,,,,,,,
Hopper Cart,1000,,,,,,,
Slime Boots,1000,10,,,,,,
Slimesling,1000,10,,,,,,
Stainless Steel Ingot,1000,,,,,,,
Block of Steel,1000,,,,,,,
Oblivion Frame,1000,,,,,,,
Adventure Backpack,1000,10,,,,,,
Workbench Backpack,1000,,,,,,,
Steel Excavator Head,800,,,,,,,
Steel Hammer Head,800,,,,,,,
Steel Large Plate,800,,,,,,,
Cobalt Tough Rod,600,,1.75x dura,,,,,
Ardite Tough Rod,600,,,,,,,
Conveyor Module (MV),500,,,,,,,
Creative Tool Modifier,500,,,,,,,
Digger's Backpack,500,10,,,,,,
Electric Motor (MV),500,,,,,,,
Electric Piston (MV),500,,,,,,,
Electric Pump (MV),500,,,,,,,
Liquid Fueled Boiler Firebox,500,,,,,,,
Aluminium Ingot,500,,,,,,,
Bronze Hull,500,,,,,,,
Chrome Dust,500,,,,,,,
Conveyor Module (LV),500,,,,,,,
Chandelier,500,,the exu mob spawn preventing thing,,,,,
Damascus Steel Ingot,500,,,,,,,
Diamond Tank,500,,,,,,,
Electric Motor (LV),500,,,,,,,
Electric Piston (LV),500,,,,,,,
Electric Pump (LV),500,,,,,,,
Elevator,500,,openblocks,,,,,
Emitter (LV),500,,,,,,,
Platinum Ingot,500,,,,,,,
Prospector's Scanner (LV),500,,,,,,,
Robot Arm (LV),500,,,,,,,
Worktable,500,,forestry,,,,,
Obsidian,500,,,,,,,
Exquisite Diamond,500,,,,,,,
Middle Backpack,500,10,,,,,,
Lava Crystal,500,,,,,,,
Silky Jewel,500,,,,,,,
Item Conduit,500,,the eio one,,,,,
Alumite Hammer Head,400,,,,,,,
Alumite Excavator Head,400,,,,,,,
Mold (Ball),400,,,,,,,
Mold (Block),400,,,,,,,
Mold (Casing),400,,,,,,,
Mold (Gear),400,,,,,,,
Mold (Ingot),400,,,,,,,
Mold (Plate),400,,,,,,,
Mold (Small Gear),400,,,,,,,
Aeon Steel Excavator Head,400,,,,,,,
Aeon Steel Hammer Head,400,,,,,,,
Aeon Steel Large Plate,400,,,,,,,
Ardite Tough Rod,400,,"2.1x durability, highest",,,,,
Steel Tough Binding,300,,,,,,,
Steel Tough Rod,300,,,,,,,
§fBronze Pickaxe,250,,,,,,,
§fBronze Shovel,250,,,,,,,
Gold Tank,250,,,,,,,
Huge Bronze Fluid Pipe,250,,,,,,,
Potin Fluid Pipe,250,,,,,,,
Sensor (LV),250,,,,,,,
Iron Minecart Wheels,200,,component for dolly,,,,,
Dezil's Marshmallow,200,,,,,,,
Ultra Low Voltage Fluid Tank,200,,,,,,,
Ardite Ingot,200,,,,,,,
Saw,200,,steel gt saw,,,,,
Screwdriver,200,,steel gt screwdriver,,,,,
Aeon Steel Tough Rod,150,,,,,,,
Diamond Sawblade,100,,,,,,,
Fan,100,,"openblocks, usable for mob farms",,,,,
Iron Tank Gauge,100,,,,,,,
Iron Tank Valve,100,,,,,,,
Iron Tank Wall,100,,,,,,,
Item Filter,100,,,,,,,
Medium Sodium Battery,100,,,,,,,
Steel Ingot,100,,,,,,,
Vanadiumsteel Ingot,100,,,,,,,
Alumite Tough Rod,100,,,,,,,
Blast Furnace,100,,the et futurum vanilla backport one,,,,,
Bricked Bronze Hull,100,,,,,,,
Bronze Fluid Pipe,100,,,,,,,
Diamond,100,,,,,,,
Iron Tank,100,,,,,,,
Plant Lens,100,,,,,,,
Proven Frame,100,,,,,,,
Rare Treasure,100,,,,,,,
Small Sodium Battery,100,,,,,,,
Soul Frame,100,,,,,,,
TNT,100,,,,,,,
TNT Cart,100,,,,,,,
Ultimate Stew,100,,,,,,,
Upgrade Template,100,,storage drawers,,,,,
Warded Jar,100,,,,,,,
Wooden TNT Cart,100,,,,,,,
Zero Point Module,100,,,,,,,
Rubber Sheet,100,,,,,,,
Bucket,100,,,,,,,
LootBag (dreamcraft.lootbag.group.bees_basic),100,,,,,,,
Red Alloy Ingot,100,,,,,,,
Red Alloy Plate,100,,,,,,,
Water Bucket,100,,,,,,,
1x Copper Wire,100,,,,,,,
1x Tin Wire,100,,,,,,,
Apiary,100,,,,,,,
LootBag (dreamcraft.lootbag.group.basic_stone_age),100,,,,,,,
Potion of Swiftness,100,,,,,,,
Nickel Ingot,50,,,,,,,
Tumbaga Ingot,50,,,,,,,
Antimony Ingot,50,,,,,,,
Blaze Rod,50,,,,,,,
Cosmic Meatballs,50,,,,,,,
Crowbar,50,,,,,,,
Ender Pearl,50,,,,,,,
Gold Ingot,50,,,,,,,
Lunch Box,50,10,,,,,,
Piston,50,,,,,,,
Thaumium Ingot,50,,,,,,,
Tin Rotor,50,,,,,,,
Uncommon Treasure,50,,,,,,,
Cast Iron Ingot,50,,,,,,,
Cast Iron Plate,50,,,,,,,
Steel Chest,50,,,,,,,
Steel Casing,50,,,,,,,
Cobalt Brass Ingot,50,,,,,,,
Tank,50,,bc tank,,,,,
1x Copper Cable,40,,,,,,,
1x Tin Cable,40,,,,,,,
Bookshelf,40,,,,,,,
Brass Item Pipe,30,,,,,,,
Bronze Ingot,30,,,,,,,
Bronze Plate,30,,,,,,,
Invar Ingot,30,,,,,,,
Spawn Iron Golem,25,,,,,,,
Carbon Plate,20,,,,,,,
Copper Ingot,20,,,,,,,
Copper Plate,20,,,,,,,
Cupronickel Ingot,20,,,,,,,
Iron Plate,20,,,,,,,
Iron Ring,20,,,,,,,
Iron Rod,20,,,,,,,
Iron Screw,20,,,,,,,
Lead Ingot,20,,,,,,,
Machine Controller Cover,20,,,,,,,
Magnetic Iron Ingot,20,,,,,,,
Silver Ingot,20,,,,,,,
Zinc Ingot,20,,,,,,,
Iron Ingot,20,,,,,,,
Tin Ingot,20,,,,,,,
Tin Screw,20,,,,,,,
LootBag (dreamcraft.lootbag.group.fast_food),20,,,,,,,
Obsidian Tough Binding,15,,,,,,,
Silicon Solar Grade (Poly SI) Dust,10,,,,,,,
Slimy Sapling,10,,,,,,,
Alastor's Soap,10,,,,,,,
Brass Ingot,10,,,,,,,
Certus Quartz,10,,,,,,,
Certus Quartz Dust,10,,,,,,,
Electrical Steel Ingot,10,,,,,,,
Electrum Ingot,10,,,,,,,
Exquisite Emerald,10,,,,,,,
Exquisite Sapphire,10,,,,,,,
Firestone Dust,10,,,,,,,
Manganese Ingot,10,,,,,,,
Neodymium Dust,10,,,,,,,
Ring of Protection,10,,,,,,,
Totem of Undying,10,,,,,,,
Trading Post,10,,,,,,,
Trosma Sláintíochta Soap,10,,,,,,,
Ghast Tear,10,,,,,,,
Redstone,10,,,,,,,
(Filled) Tin Can,10,,,,,,,
Obsidian Chest,10,,,,,,,
Sanitizing Soap,10,,,,,,,
Beef Wellington,5,,,,,,,
Clay,5,,,,,,,
Coal,5,,,,,,,
Coal Coke,5,,,,,,,
Common Treasure,5,,,,,,,
Delighted Meal,5,,,,,,,
Deluxe Cheeseburger,5,,,,,,,
Flint and Steel,5,,,,,,,
Knowledge Fragment,5,,,,,,,
Lapis Lazuli,5,,,,,,,
Leather,5,,,,,,,
Miniature Red Heart,5,,,,,,,
Name Tag,5,,,,,,,
Obsidian Binding,5,,,,,,,
Ancient Debris,1,,,,,,,
Farm Block,1,,,,,,,
Farm Control,1,,,,,,,
Farm Gearbox,1,,,,,,,
Farm Hatch,1,,,,,,,
Farm Valve,1,,,,,,,
Forester's Backpack,1,,,,,,,
Furnace,1,,,,,,,
Oak Drawer,1,,,,,,,
Oak Drawers 1x2,1,,,,,,,
Oak Drawers 2x2,1,,,,,,,
Splash Potion of Night Vision,1,,,,,,,
Splash Potion of Regeneration,1,,,,,,,
Treetap,1,,,,,,,
Broken Relic of Mjolnir,1,,,,,,,
Mining Pipe,1,,,,,,,
Better Barrel,1,,,,,,,
Potion of Invisibility,1,,,,,,,
