rank_in_stream,seed,score,uncapped,roguelike_chests,village_chests
0,-7269948338495788698,237170,240570,641,33
1,-1297854885530077460,282075,287175,671,34
2,-8952052010658893278,167038,170338,481,51
3,-8607522308064511141,292147,297547,701,29
4,-6244135143557849758,179854,182454,411,46
5,-9107171013753322724,159014,162514,400,40
6,-1497857703099570772,203578,206178,510,44
7,-8168323205341578169,280345,284545,663,48
8,-6270331762397506834,203341,207341,480,35
9,5640528374229792510,205592,209992,528,26
10,9010894773932737588,260717,264317,528,99
11,754300914653007805,246357,249857,532,34
12,1261249498889444331,242774,247174,645,30
13,-4311632008425961176,302773,325973,662,31
14,1787392483651679624,256652,261152,676,47
15,-495428158958937458,131888,133188,363,23
16,-5820542125100895415,181355,184655,432,27
17,-914688528032605673,372808,379908,769,69
18,8092628878559311603,259112,264512,658,17
19,-5407451111107001215,298936,302936,651,35
20,8456817873093103234,205287,208187,503,14
21,4455632528278503565,274679,280279,656,24
22,-597980941263995677,224145,227945,574,56
23,6804657220102240981,221828,235128,522,57
24,5159601364152385871,203149,205049,439,37
25,8196260700682203748,203496,206496,464,25
26,7613136794550514930,262827,265927,566,33
27,-3176475612376243145,291756,295856,804,38
28,1504291569863501922,268248,272448,690,49
29,8883663155339257787,225654,238154,418,24
30,7117132976299143060,145284,146884,363,33
31,-2322095815670481316,211881,214381,512,23
32,3306128649649680565,195450,197650,441,46
33,8373619616442976960,219561,223061,531,11
34,-6154538817930243779,141646,143446,320,49
35,5601653643474540034,205136,208636,495,34
36,5350238216294834844,177489,180789,473,40
37,6405758488660130830,267955,272455,591,82
38,5259604390155278211,278036,282736,664,30
39,-3496510879150283121,349958,357558,793,30
40,7444558455070544544,254444,257644,554,12
41,7663188517877758211,217987,221187,497,36
42,2333585222180129931,232649,236049,564,20
43,5850767037279563413,219929,223229,542,58
44,-1797990193677610238,187710,190510,383,23
45,-3602937312285331951,234622,238922,590,31
46,3663420069957137088,242016,246416,635,51
47,-644490098508578870,340667,349267,843,38
48,-2546394943965234052,292544,317644,620,10
49,-74324147406730800,243166,245866,669,24
50,8030454184186469161,262102,268102,651,35
51,-6701391002807803687,173366,176966,456,36
52,-5906397841852343037,194537,197237,461,65
53,-4011577008245302542,303358,330458,725,24
54,-7448908059998482089,180282,181682,378,43
55,-6292213143640744246,271425,275625,695,57
56,788014305712227817,204855,207955,468,21
57,8714553887829585232,253334,256234,517,40
58,5212781571973842902,218214,220714,437,34
59,680539380339649850,232010,236710,556,35
60,4214085290240202253,286140,290840,653,46
61,732230160924941311,229671,243271,488,19
62,-5287293862430284723,252447,257547,567,22
63,5823218153178521498,307987,313287,679,25
64,1737259525841610519,129491,131791,446,28
65,5858590157572911211,187593,189693,472,52
66,3951769169156140164,231121,236021,598,36
67,3314854442072479693,233421,237021,661,21
68,6448274471135530858,341468,348968,841,18
69,5878993889623039718,199721,201121,386,21
70,-7686485693264266319,123893,125293,385,27
71,3804623792610097511,223304,227604,515,24
72,-1972647520068515518,156831,160231,465,29
73,5412473539828096254,231476,234576,487,26
74,-8960299649260243161,174630,176430,416,19
75,-2022754044532931355,302012,315412,644,18
76,-7153859833546089334,148354,150254,353,21
77,6240799579810630379,243893,247693,642,11
78,-4153068366576178603,243999,246699,558,33
79,655064134189255629,300429,305829,649,36
80,-7064285392796666182,256058,260358,562,43
81,-474638338742046264,269672,272872,564,27
82,285177397708394246,262665,316065,572,25
