Item,Value,Limit,Notes
Block of Steel,16340,,was 1000; 106 seen in 5000 seeds; rate smoothed with k=200
Division Sigil,12860,1,was 2500; 772 seen in 5000 seeds; rate smoothed with k=200
Platinum Ingot,9363,,was 500; 67 seen in 5000 seeds; rate smoothed with k=200
Alumite Large Plate,8980,2,was 10000; 5368 seen in 5000 seeds; rate smoothed with k=200
Hopper Cart,6378,,was 1000; 584 seen in 5000 seeds; rate smoothed with k=200
Bronze Shovel,5605,,was 250; 23 seen in 5000 seeds; rate smoothed with k=200
Stainless Steel Ingot,4647,,was 1000; 876 seen in 5000 seeds; rate smoothed with k=200
Piston Boots,3441,,was 2500; 3433 seen in 5000 seeds; rate smoothed with k=200
Obsidian,3285,,was 500; 561 seen in 5000 seeds; rate smoothed with k=200
Bronze Pickaxe,2530,,was 250; 294 seen in 5000 seeds; rate smoothed with k=200
Zero Point Module,2475,,was 100; 2 seen in 5000 seeds; rate smoothed with k=200
Aluminium Ingot,2422,,was 500; 832 seen in 5000 seeds; rate smoothed with k=200
Slime Boots,2269,10,was 1000; 2004 seen in 5000 seeds; rate smoothed with k=200
Ardite Excavator Head,2052,,was 1600; 3698 seen in 5000 seeds; rate smoothed with k=200
Dezil's Marshmallow,2037,,was 200; 291 seen in 5000 seeds; rate smoothed with k=200
Cobalt Hammer Head,2034,,was 1600; 3734 seen in 5000 seeds; rate smoothed with k=200
Ardite Large Plate,2029,,was 1600; 3743 seen in 5000 seeds; rate smoothed with k=200
Iron Minecart Wheels,2016,,was 200; 296 seen in 5000 seeds; rate smoothed with k=200
Cobalt Large Plate,2007,,was 1600; 3787 seen in 5000 seeds; rate smoothed with k=200
Ardite Hammer Head,1995,,was 1600; 3811 seen in 5000 seeds; rate smoothed with k=200
Ultimate Stew,1235,,was 100; 205 seen in 5000 seeds; rate smoothed with k=200
Ardite Tough Rod,780.2,,was 600; 3645 seen in 5000 seeds; rate smoothed with k=200
Hopper,763.4,,was 1000; 6350 seen in 5000 seeds; rate smoothed with k=200
Cobalt Tough Rod,751.3,,was 600; 3793 seen in 5000 seeds; rate smoothed with k=200
Steel Hammer Head,733.4,,was 800; 5254 seen in 5000 seeds; rate smoothed with k=200
Steel Excavator Head,732.3,,was 800; 5262 seen in 5000 seeds; rate smoothed with k=200
Steel Large Plate,729.4,,was 800; 5284 seen in 5000 seeds; rate smoothed with k=200
Cosmic Meatballs,700.3,,was 50; 157 seen in 5000 seeds; rate smoothed with k=200
Ardite Ingot,612,,was 200; 1434 seen in 5000 seeds; rate smoothed with k=200
