Item,Value,Limit,Notes
Zero Point Module,250000,,"was 100; 2 seen in 5000 seeds, mean 0.0004/seed"
Bronze Shovel,54350,,"was 250; 23 seen in 5000 seeds, mean 0.0046/seed"
Block of Steel,47170,,"was 1000; 106 seen in 5000 seeds, mean 0.0212/seed"
Platinum Ingot,37310,,"was 500; 67 seen in 5000 seeds, mean 0.0134/seed"
Division Sigil,16190,1,"was 2500; 772 seen in 5000 seeds, mean 0.154/seed"
Alumite Large Plate,9314,2,"was 10000; 5368 seen in 5000 seeds, mean 1.07/seed"
Hopper Cart,8562,,"was 1000; 584 seen in 5000 seeds, mean 0.117/seed"
Stainless Steel Ingot,5708,,"was 1000; 876 seen in 5000 seeds, mean 0.175/seed"
Obsidian,4456,,"was 500; 561 seen in 5000 seeds, mean 0.112/seed"
Bronze Pickaxe,4252,,"was 250; 294 seen in 5000 seeds, mean 0.0588/seed"
Piston Boots,3641,,"was 2500; 3433 seen in 5000 seeds, mean 0.687/seed"
Dezil's Marshmallow,3436,,"was 200; 291 seen in 5000 seeds, mean 0.0582/seed"
Iron Minecart Wheels,3378,,"was 200; 296 seen in 5000 seeds, mean 0.0592/seed"
Aluminium Ingot,3005,,"was 500; 832 seen in 5000 seeds, mean 0.166/seed"
Slime Boots,2495,10,"was 1000; 2004 seen in 5000 seeds, mean 0.401/seed"
Ultimate Stew,2439,,"was 100; 205 seen in 5000 seeds, mean 0.041/seed"
Ardite Excavator Head,2163,,"was 1600; 3698 seen in 5000 seeds, mean 0.74/seed"
Cobalt Hammer Head,2142,,"was 1600; 3734 seen in 5000 seeds, mean 0.747/seed"
Ardite Large Plate,2137,,"was 1600; 3743 seen in 5000 seeds, mean 0.749/seed"
Cobalt Large Plate,2112,,"was 1600; 3787 seen in 5000 seeds, mean 0.757/seed"
Ardite Hammer Head,2099,,"was 1600; 3811 seen in 5000 seeds, mean 0.762/seed"
Cosmic Meatballs,1592,,"was 50; 157 seen in 5000 seeds, mean 0.0314/seed"
Tin Rotor,841.8,,"was 50; 297 seen in 5000 seeds, mean 0.0594/seed"
Ardite Tough Rod,823,,"was 600; 3645 seen in 5000 seeds, mean 0.729/seed"
Cobalt Tough Rod,790.9,,"was 600; 3793 seen in 5000 seeds, mean 0.759/seed"
Hopper,787.4,,"was 1000; 6350 seen in 5000 seeds, mean 1.27/seed"
Steel Hammer Head,761.3,,"was 800; 5254 seen in 5000 seeds, mean 1.05/seed"
Steel Excavator Head,760.2,,"was 800; 5262 seen in 5000 seeds, mean 1.05/seed"
Steel Large Plate,757,,"was 800; 5284 seen in 5000 seeds, mean 1.06/seed"
Ardite Ingot,697.4,,"was 200; 1434 seen in 5000 seeds, mean 0.287/seed"
Ring of Protection,617.3,,"was 10; 81 seen in 5000 seeds, mean 0.0162/seed"
Miner's Backpack,606.3,10,"was 2500; 20618 seen in 5000 seeds, mean 4.12/seed"
1x Tin Wire,574.7,,"was 100; 870 seen in 5000 seeds, mean 0.174/seed"
1x Copper Wire,548.8,,"was 100; 911 seen in 5000 seeds, mean 0.182/seed"
Aeon Steel Excavator Head,529,,"was 400; 3781 seen in 5000 seeds, mean 0.756/seed"
Aeon Steel Hammer Head,526.6,,"was 400; 3798 seen in 5000 seeds, mean 0.76/seed"
Aeon Steel Large Plate,526.3,,"was 400; 3800 seen in 5000 seeds, mean 0.76/seed"
TNT Cart,414.9,,"was 100; 1205 seen in 5000 seeds, mean 0.241/seed"
Wooden TNT Cart,397.1,,"was 100; 1259 seen in 5000 seeds, mean 0.252/seed"
Alumite Excavator Head,381.2,,"was 400; 5247 seen in 5000 seeds, mean 1.05/seed"
Alumite Hammer Head,379,,"was 400; 5277 seen in 5000 seeds, mean 1.06/seed"
Chrome Dust,342.1,,"was 500; 7308 seen in 5000 seeds, mean 1.46/seed"
Water Bucket,296.7,,"was 100; 1685 seen in 5000 seeds, mean 0.337/seed"
Steel Tough Binding,286.8,,"was 300; 5230 seen in 5000 seeds, mean 1.05/seed"
Steel Tough Rod,285.3,,"was 300; 5258 seen in 5000 seeds, mean 1.05/seed"
