ore,layer,centre_x,min_y,centre_z,tp,dist_from_spawn,west_x,east_x,north_z,south_z,size_x,size_z,dimension,route_stable
netherquartz,ore.mix.netherquartz,26,41,19,/tp 26 41 19,7,11,42,2,37,31,35,-1,yes
iron,ore.mix.iron,23,28,-25,/tp 23 28 -25,43,2,45,-43,-6,43,37,-1,yes
redstone,ore.mix.redstone,-28,18,20,/tp -28 18 20,47,-51,-4,-3,44,47,47,-1,yes
quartz,ore.mix.quartz,70,103,19,/tp 70 103 19,51,55,85,6,32,30,26,-1,yes
tetrahedrite,ore.mix.tetrahedrite,27,103,78,/tp 27 103 78,61,5,50,58,99,45,41,-1,yes
netherquartz,ore.mix.netherquartz,65,68,-22,/tp 65 68 -22,61,45,86,-46,3,41,49,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-29,103,-25,/tp -29 103 -25,64,-53,-5,-54,5,48,59,-1,yes
iron,ore.mix.iron,-25,24,73,/tp -25 24 73,70,-48,-2,51,95,46,44,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,77,32,70,/tp 77 32 70,78,62,93,58,83,31,25,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,20,26,-68,/tp 20 26 -68,86,3,37,-86,-50,34,36,-1,yes
sulfur,ore.mix.sulfur,-76,6,32,/tp -76 6 32,96,-92,-60,16,48,32,32,-1,yes
sulfur,ore.mix.sulfur,-71,10,-24,/tp -71 10 -24,99,-100,-42,-54,6,58,60,-1,yes
beryllium,ore.mix.beryllium,71,7,-67,/tp 71 7 -67,100,62,80,-84,-49,18,35,-1,yes
iron,ore.mix.iron,120,10,20,/tp 120 10 20,101,110,130,-5,45,20,50,-1,yes
iron,ore.mix.iron,-21,17,111,/tp -21 17 111,101,-46,4,94,128,50,34,-1,yes
iron,ore.mix.iron,-17,33,-78,/tp -17 33 -78,103,-35,2,-100,-56,37,44,-1,yes
sulfur,ore.mix.sulfur,25,8,123,/tp 25 8 123,105,13,37,105,142,24,37,-1,yes
sulfur,ore.mix.sulfur,-75,7,68,/tp -75 7 68,106,-87,-62,45,91,25,46,-1,yes
iron,ore.mix.iron,113,25,69,/tp 113 25 69,107,91,136,56,83,45,27,-1,yes
iron,ore.mix.iron,124,21,-14,/tp 124 21 -14,110,98,151,-32,4,53,36,-1,yes
tetrahedrite,ore.mix.tetrahedrite,78,97,119,/tp 78 97 119,117,62,95,105,134,33,29,-1,yes
netherquartz,ore.mix.netherquartz,-76,48,-72,/tp -76 48 -72,131,-87,-64,-80,-64,23,16,-1,yes
netherquartz,ore.mix.netherquartz,120,72,-74,/tp 120 72 -74,137,93,147,-96,-51,54,45,-1,yes
iron,ore.mix.iron,-20,13,-114,/tp -20 13 -114,138,-36,-4,-130,-97,32,33,-1,yes
beryllium,ore.mix.beryllium,-70,11,124,/tp -70 11 124,138,-91,-49,110,139,42,29,-1,yes
copper,ore.mix.copper,-122,34,22,/tp -122 34 22,141,-145,-99,5,40,46,35,-1,yes
